Producto,Producto de terceros,Precio unitario,Categoría,Unidades vendidas,Día de semana,Hora del día,Cliente regular,Método de pago,Zona de panadería,Día laboral durante feriado,Pedido
40,0,3.0,2,7,4,13,0,0,2,0,0
29,1,0.5,2,10,2,9,1,1,2,1,0
15,1,8.0,2,5,5,9,0,0,2,0,0
8,0,0.5,0,6,1,16,0,0,0,0,0
21,1,1.0,0,5,1,12,0,2,2,0,0
40,1,2.0,1,4,2,9,0,1,2,0,0
33,1,2.0,1,5,6,20,0,0,1,0,0
23,1,5.0,1,6,3,16,0,2,0,0,0
11,1,3.5,1,3,2,18,0,0,2,0,0
11,1,0.5,1,5,5,15,0,1,2,1,0
24,0,1.0,2,3,3,15,0,1,0,0,0
37,0,15.0,2,2,5,12,0,2,1,0,1
41,0,5.0,2,6,1,14,0,0,0,0,0
24,0,5.0,1,5,3,17,0,1,1,0,0
3,0,3.0,2,5,5,14,0,1,2,0,0
22,1,0.5,2,7,7,14,0,1,2,0,0
2,0,15.0,2,7,1,15,1,1,0,0,0
24,0,3.0,2,8,5,17,1,1,2,0,0
30,1,0.5,0,3,3,15,0,0,0,0,0
39,1,10.0,1,9,1,20,0,0,0,0,0
2,0,10.0,1,5,5,11,0,2,0,0,0
21,1,1.0,0,6,4,6,0,1,2,0,0
34,1,3.0,2,2,3,21,0,2,1,0,0
12,1,8.0,2,8,3,17,0,0,2,0,0
22,1,0.5,2,4,3,13,1,0,1,0,0
25,0,2.0,1,3,6,19,0,2,1,0,0
27,1,0.5,1,7,1,19,0,0,1,0,0
43,0,10.0,1,8,3,11,0,1,2,0,0
28,0,1.5,1,10,5,12,0,1,1,1,0
16,1,3.0,1,4,7,7,0,0,2,0,0
15,1,2.0,0,4,4,8,0,1,2,0,0
3,1,1.0,1,3,5,11,0,2,0,0,0
38,0,10.0,2,6,5,8,1,0,2,0,0
7,1,15.0,1,10,3,10,0,2,2,0,0
21,1,8.0,0,7,4,18,0,0,2,0,0
9,1,3.0,2,3,4,9,0,1,2,0,0
40,1,0.66,0,8,7,10,0,1,1,0,0
18,1,1.0,2,4,4,13,1,1,1,0,0
4,0,5.0,1,6,4,20,0,1,2,0,0
25,1,3.0,0,7,2,9,0,2,2,0,0
14,1,2.0,2,1,7,14,0,2,0,0,0
9,1,5.0,1,4,7,8,0,0,1,0,1
26,0,2.0,2,9,4,17,1,1,2,1,1
2,1,0.5,0,5,3,12,0,1,0,0,0
20,0,8.0,0,2,6,12,0,2,0,0,0
28,0,10.0,0,8,4,6,1,1,2,0,0
7,1,0.5,0,4,5,8,0,1,0,0,0
8,1,2.0,1,9,2,15,0,1,0,0,0
36,1,8.0,2,4,5,6,0,2,0,0,0
14,0,12.0,1,4,3,13,1,2,1,0,0
17,0,0.5,0,5,3,15,0,1,0,0,0
37,0,3.5,2,5,7,10,0,2,0,0,0
41,0,3.0,0,3,6,20,0,1,2,0,0
4,0,10.0,1,8,6,9,0,0,2,0,0
2,0,3.5,1,5,4,8,0,1,1,0,0
6,1,1.0,1,4,7,12,0,1,2,0,0
43,1,3.0,2,5,6,13,1,0,1,0,0
4,0,3.0,2,4,3,13,0,1,0,0,0
29,1,0.5,0,6,2,18,0,1,0,0,0
18,1,2.0,2,3,7,6,0,0,0,0,0
26,0,1.0,2,5,6,12,0,1,2,0,0
35,0,5.0,1,8,5,10,0,0,1,0,0
10,1,10.0,0,7,3,7,1,0,2,0,0
37,0,5.0,1,4,6,13,0,1,2,0,0
